,0,1,2,3,4
0,-175.26719006107433,-183.06684438491394,-174.91089791662137,-159.7860217123256,-141.4607550261275
1,-174.6439253224387,-181.78556146313957,-175.97043881637984,-161.7934969869107,-142.57474608521505
2,-178.06911190289077,-181.903430677221,-175.05218085207267,-162.31660294168796,-143.24689147886204
3,-180.06912271656648,-183.3379062315136,-173.8856362367438,-161.76870539447145,-142.9366314198895
4,-176.46957406308888,-183.47028381190137,-172.88492240631328,-161.17796835183992,-146.093521243155
5,-176.27022938819704,-185.11172510734607,-169.8230918706449,-160.0921619944788,-142.7453869447334
6,-174.8160953204607,-182.620443994523,-168.2704408085259,-161.16236721333198,-142.92173186266754
7,-175.04630956911933,-181.81680135611754,-167.06446174202316,-162.9285705098992,-143.8319247951318
8,-177.10388642489414,-182.2227694197954,-166.93830200321452,-162.40265122608704,-143.6320241979519
9,-176.73085433275287,-182.55523976436376,-165.17395726516352,-162.75175080188814,-143.89991443963265
10,-176.4752669618067,-183.8018072252132,-162.55691516109138,-160.3919085853834,-141.51280925220297
11,-173.67785824696566,-183.54894495034256,-163.6117748053018,-160.6786041338783,-141.65551607374488
12,-172.95720715326829,-183.3605313118195,-162.8798894619862,-160.34174943156165,-141.3186190202995
13,-171.0388391925826,-180.94563881945257,-162.16256317581505,-162.59469007817637,-136.3317662388449
14,-168.24158960886092,-180.57339293830083,-161.3288241947356,-159.98977023089637,-137.80664999459594
15,-167.82122391894643,-182.55715078162038,-160.13318141906,-157.94868749482973,-137.68706983964123
16,-166.13090174498228,-182.31932393348515,-159.28532721035077,-156.59755407696477,-137.6986012464387
17,-164.31252161965074,-181.15433505124847,-159.2500107248155,-159.57237889207465,-136.21233911164794
18,-166.64276028819322,-178.03682769332855,-157.32126033958693,-156.28892986537917,-134.2231965602779
19,-164.61504346312668,-179.53771547408817,-156.23839515921583,-156.1575687188698,-132.19112612242395
20,-164.06519309640095,-179.46424460286843,-155.35849309777143,-155.69554922512134,-127.29323544373975
21,-163.38633529413548,-181.12227525286394,-154.6016806996979,-153.5880342238503,-125.81092343557135
22,-166.00993783307243,-178.26871350129218,-153.67457149389583,-153.3837070911557,-122.63688946929875
23,-163.281276075734,-175.6732372331666,-148.2000831346909,-153.87320762492035,-119.43210947537183
24,-162.7702400890818,-176.09508398119652,-145.24832923128312,-153.98984837318415,-114.86067459132119
25,-165.6003316744713,-174.9248428967964,-143.44087800009623,-155.0260287951914,-110.38055021793434
26,-162.94703046358194,-170.45119794946132,-143.66706068446777,-155.08186307911419,-109.48132145404742
27,-161.8462326031658,-170.9576930060729,-142.91000432208816,-155.6823347094751,-107.27252763404452
28,-160.36557021618057,-171.47353238992463,-143.2494919464972,-154.31428774085103,-105.90630812002763
29,-160.6728142677862,-173.1675521543367,-143.07694371876673,-150.85684377190515,-102.89037322911066
30,-161.17031855238736,-173.75522624791344,-143.92399005748058,-150.60263316727583,-101.87275871517296
31,-163.04417169708245,-176.32797106613552,-144.86313944226742,-149.37171779172024,-100.72995408884316
32,-161.69199717954862,-178.8286722160661,-143.46213922270783,-150.84507685899217,-100.46942940485211
33,-160.30001451995673,-177.6150781243713,-141.63343867228593,-150.4888223535335,-105.76530945448653
34,-159.74323944480378,-175.24445237382457,-140.63960078492147,-150.7739520183463,-108.95476364791179
35,-158.6695940109481,-176.86901553672135,-140.47137530784713,-150.14657242773367,-110.64313319534577
36,-157.90812210244368,-176.82797293063396,-139.67969875936691,-150.52962468812046,-108.87428816347575
37,-157.6904510194434,-174.1332604517087,-137.67809754151745,-150.2627584109329,-109.4191465052364
38,-157.7854947248825,-172.31079986792872,-134.70423567853507,-149.96009426116623,-112.75778626284618
39,-158.03819736403707,-166.58350381101752,-132.79368328330978,-150.23743927592216,-111.21695748154617
40,-157.52316932126507,-164.47569156753877,-132.8894989548024,-148.44346459360528,-108.37998944960769
41,-153.31040935464043,-158.96309493578528,-131.71182680581396,-148.43820686541432,-110.86667475768962
42,-151.84833838556008,-158.5382971747372,-131.02098161601805,-147.44016017449792,-109.45378283176386
43,-151.37792997372608,-156.58003689670443,-129.32170598763167,-144.896758350629,-109.65876686675739
44,-150.25256517434528,-156.87336582600653,-127.22011803961837,-146.01050658788873,-108.07242611525152
45,-147.55516226838682,-158.7105693974872,-128.56198785370373,-146.24703614328732,-115.76202837789519
46,-145.54201183641644,-158.4345250729725,-127.95970224699686,-145.942564485321,-111.11334365700942
47,-144.67009474989763,-156.76760980048348,-127.29224918824073,-145.24511789660008,-114.09672678359564
48,-142.58869837300392,-158.0768860665461,-124.93624047401137,-143.7831994661002,-115.82025697479672
49,-140.4554458771155,-157.03793943806514,-125.79232856165791,-143.70951292595302,-115.01509035706101
50,-140.17901400233083,-156.79756243648276,-124.79947020900056,-143.03572367269794,-113.86338329884144
51,-141.274647377652,-151.77575871282494,-124.8018874075483,-141.8609896308647,-113.00447776133646
52,-140.97047932961857,-151.70469593570965,-123.83029494786238,-140.23653071585147,-109.77473044164638
53,-140.7662834792845,-149.2090559464369,-123.13451127027024,-138.5151437939084,-106.88221679373254
54,-140.86803686768,-149.86117470223263,-121.40511511621713,-138.207532862238,-106.01475708108181
55,-137.5646833031185,-147.7946523428484,-122.57984388431233,-136.6953988877012,-106.48132657875331
56,-134.25540838143064,-144.60829470535512,-122.89188147858884,-136.8597092419521,-107.0803995608728
57,-133.2452350934121,-145.92518696645993,-121.33573067812607,-136.51631225551216,-106.53027601435264
58,-132.73877644049816,-143.0966355295517,-122.67987870476419,-135.07226305504156,-108.16916951425459
59,-130.4492278846965,-141.98477714398533,-121.65283414371449,-135.0959279251902,-106.18463478639394
60,-128.97808588735452,-141.18366702619394,-121.82334379949329,-134.6965330458602,-104.04179772358951
61,-129.6479236918734,-142.24578772754833,-121.17118540862711,-132.4434020718742,-101.87087692393297
