,0,1,2,3,4
0,-157.93453546593358,-149.05517899354732,-117.82787240273379,-121.63481055681112,-152.2005039843947
1,-158.03704253145293,-149.67090546377716,-116.3753108501052,-119.90000730386886,-150.9787286752496
2,-155.3599426173265,-148.95785185052003,-116.19433090463468,-118.42205967631901,-149.59868784918098
3,-155.528872984538,-146.93660818629814,-116.34134099669183,-117.64258034210518,-146.9735937742114
4,-153.1324578615583,-144.301758590631,-115.14799725847351,-116.44350627244319,-144.90351188006355
5,-150.17493133052855,-142.15573208956977,-115.1258201391522,-112.74056130624368,-144.43744061104525
6,-150.25642880869447,-142.283456420958,-113.84006743137479,-109.72531952712247,-144.15581585972237
7,-149.99920403568615,-140.77946541007347,-113.31374369800785,-108.50308861022734,-143.6829127475784
8,-150.23462543110446,-141.44823397228166,-109.92670869742915,-108.07900467391772,-143.40488848039217
9,-149.88528990807336,-138.5395729708589,-106.88772793052529,-108.76454943772396,-142.57230764612305
10,-148.6617157119879,-137.64754407634817,-104.55694588195833,-107.75884744459383,-138.74984033153646
11,-148.65230115316533,-137.3311029884455,-106.5273763048581,-107.03131958867154,-137.29327964463943
12,-147.19784425732607,-135.05838267540994,-103.11334634296672,-105.92162441025519,-137.1189589221197
13,-145.9690528856282,-134.9541998638115,-100.07927171946068,-103.8871479150239,-134.05891454735402
14,-145.50883450513626,-129.7191482966276,-95.7102939848305,-102.18425110696634,-132.65869208998626
15,-142.63793716800268,-128.68132148613788,-94.77275783887568,-100.23824557093766,-133.64081134810075
16,-143.161745526924,-127.7144079508343,-91.9703947683376,-99.08719837567382,-133.4718281639649
17,-143.3540878304819,-125.72584189198538,-89.10636753639884,-98.44319974139657,-132.72257411130056
18,-142.14502999148118,-122.38372995986994,-87.56558489330284,-97.50062688434784,-131.73327287800458
19,-141.87119445458023,-121.03115891396216,-84.79875809601138,-95.18433061225835,-132.64577395827615
20,-141.59850086951676,-120.12919519087043,-82.56443366701492,-94.80740733179968,-134.39180807217303
21,-141.01115883783103,-119.18052541090739,-82.0307793787754,-95.00916824517346,-134.70322044005832
22,-140.64985378974185,-119.0332071857542,-81.96990246493613,-94.09623595878412,-133.2200504429117
23,-140.0133197421389,-118.08266460989712,-80.35855028273488,-91.86598771954425,-131.44117065528837
24,-140.39979242711092,-117.96824820852275,-80.36762919002169,-90.51585175545277,-133.9834475785564
25,-138.64702437485664,-118.03671221673126,-77.34020399122484,-89.5995139674742,-131.88913515087853
26,-138.26428904043703,-118.25353024440706,-77.12635323819536,-88.62921448921834,-130.7911953852743
27,-137.70588192593442,-115.20484282016587,-77.24701851333359,-86.03349118122821,-131.79889363134265
28,-135.09981758856182,-113.28434956128552,-74.64630005203222,-84.9579353775886,-131.45599891285855
29,-134.2076860769648,-113.58386473040822,-71.12782790399356,-84.1500007968796,-132.46234597617925
30,-134.0095193435297,-114.05801437222628,-70.01367021201436,-80.80081081331765,-134.47816988776268
31,-132.72625586215673,-114.58731172144999,-66.04387117498544,-78.99479827102758,-135.09404360237272
32,-132.09154819343473,-115.17712917817343,-66.63726282299316,-78.480339704168,-136.15808444510247
33,-131.3116415610128,-115.13000910027203,-65.98540714074126,-76.3723037405629,-135.28245651141432
34,-131.73325543090937,-113.24461250772913,-64.86740084201817,-75.75411975155944,-134.5501746903257
35,-131.6039260679135,-109.45786629952174,-62.978895900662216,-74.62225458733904,-129.5933555115305
36,-131.5473541125806,-109.41638880406734,-62.925365580956935,-73.44272289901062,-125.21770793628342
37,-131.51328146472218,-109.95866176995916,-61.56336257748509,-70.63105172381638,-121.84248560323361
38,-129.44866407745053,-110.74251745773361,-59.306699365413266,-68.82948025954849,-120.34744129776318
39,-127.84706997888789,-110.67796612533456,-55.478741481328015,-67.82456140670978,-119.5249837213153
40,-127.20870899603696,-110.51530287930045,-53.3397957893686,-66.9022939636172,-116.925430442808
41,-125.74941639616937,-107.7190998986492,-51.965604517826335,-65.94005599808646,-116.43178033890847
42,-123.07485041707987,-106.09862759132574,-52.60001151367876,-65.55602346982678,-115.87279109911833
43,-121.11436714659123,-106.5465683109348,-52.140119700394706,-64.92194932635473,-114.4333364780885
44,-120.64689867463734,-104.69805161590733,-49.41207614576026,-62.11162212866643,-111.60366277851347
45,-121.59075078251767,-103.62015345292403,-47.07593454622351,-60.20991628904357,-109.01324596137835
46,-119.08123374677842,-101.01240700436425,-46.8378907985961,-60.43645794695372,-107.93803237389427
47,-118.32451587627351,-101.10584793006183,-46.205340291896704,-60.16291333627577,-108.89060658421873
48,-118.78641431216882,-99.7586129244574,-47.92067261611519,-61.668849222040045,-105.81379617318335
49,-118.83135658560164,-100.26952803966547,-44.070336589117105,-61.864530125615076,-103.71463305216574
50,-120.00061981772626,-101.34269145140485,-41.24142152769542,-62.73572852600426,-100.37907268953218
51,-119.95899768968198,-102.48906067764985,-41.36089661739102,-64.26595651759908,-102.08243765668914
52,-120.73466152251416,-102.78494236545177,-40.694864060587335,-64.38728914684106,-99.29177071194371
53,-118.97043073996923,-101.63332770696292,-37.92082174469209,-64.19362916585102,-96.45119360632516
54,-120.5811206222394,-101.12310855298615,-35.601482763818396,-64.80870882729299,-96.79895831684702
55,-121.12856943138206,-98.60151115418962,-37.92364724963164,-64.69758836256186,-96.6984637835545
56,-119.66076848445147,-97.61252642318804,-37.81669480545658,-66.04893629012444,-93.5896120000025
57,-120.19832508654923,-95.26330322336418,-30.104370623829347,-65.24225023523445,-93.93160535795046
58,-120.31360735711706,-95.5896424817178,-29.530879907589238,-64.55813887050799,-91.58821588110075
59,-119.89284277072582,-95.22281542479612,-25.95344764916299,-62.16516118715426,-93.40076219641722
60,-118.48060149957315,-94.76452780283456,-22.905203716172874,-61.97328571152079,-93.87355804516896
61,-117.5795291900396,-95.26548073576073,-19.998454361530438,-62.547593725560866,-91.44736480713793
62,-117.9814285483676,-96.21869175004849,-20.073847698918,-63.40217908211165,-89.76387353797703
63,-118.17808973021734,-95.4115296601048,-16.278135978119227,-61.970017337304405,-87.476865957355
64,-118.05238636196898,-93.94514930790103,-12.858296270281269,-63.339492635537866,-88.35221571366556
65,-120.27824401676591,-93.64238546792156,-9.03001793336009,-63.26851214303386,-86.8660760384735
66,-120.8796479854657,-91.90073633056608,-9.300582421891674,-63.151946119452695,-85.78664915609073
67,-123.34219644105642,-90.53820486451619,-7.104083590892089,-63.11567203964091,-87.16494575616201
68,-122.87265007608396,-90.0926851864852,-2.2140814072231523,-63.87772542718874,-85.860293301056
69,-121.02804323853641,-89.22914394372569,0.2522303871010334,-63.75628201140175,-83.86249227272525
70,-119.98248648924717,-88.99103737892614,-0.6332682098280992,-63.836883324635686,-83.01518943696577
71,-119.22815250819866,-88.18113420540722,4.009460840003492,-63.51102051696447,-82.21130332414644
72,-117.452683261221,-85.20201857880338,2.6381560993724817,-60.87843440647876,-82.67874739039749
73,-116.90976713622695,-83.70682134557137,-0.14992097487731343,-60.666466686893536,-79.66809161471339
74,-116.46253304081925,-83.2749233434757,2.4551799358715627,-61.394682810592315,-79.10611944582791
75,-114.98813911025381,-83.10418080920199,4.195018243358483,-63.57224717978799,-78.53206430330316
76,-113.46347270682485,-83.37208724786002,7.675366040574661,-63.49628299928677,-77.60996989289669
77,-111.84003852924013,-83.12112910899702,10.546357276737503,-61.6714671948553,-75.01214790016152
78,-110.4551981956072,-82.60232479702695,13.835884386333849,-59.38023325217655,-76.3121763544828
79,-110.98662831648831,-82.1709361422441,19.26464595454392,-58.64079359798129,-75.21695247331043
80,-112.02779412306192,-81.75854251010196,21.455247790700497,-56.45459012821051,-74.83911105413581
81,-108.79178774951164,-81.55218266200218,20.29062274033069,-55.64194172433362,-73.73921859253396
82,-108.84022790266532,-81.14338122546597,19.172751264356833,-55.47510542234844,-73.44884090055069
