,0
0,-175.82314299204106
1,-173.27359182193857
2,-171.8808252128201
3,-171.6351152860218
4,-171.64686895643345
5,-173.2993060038659
6,-173.24857463614057
7,-174.3673279842283
8,-173.990351943183
9,-174.04027423239452
10,-171.31186389695048
11,-173.1442561105727
12,-172.16895908432497
13,-170.97321707968527
14,-171.68479899818033
15,-171.14934918052103
16,-168.84494371822478
17,-169.37726153710602
18,-167.57509251447743
19,-167.3727690930977
20,-168.06835451183377
21,-167.6690316571766
22,-166.32347944342456
23,-163.85870870914684
24,-163.130589011643
25,-165.7079384236141
26,-163.7668630200448
27,-163.25967833043785
28,-162.56450207190736
29,-163.43178582396402
30,-163.79803063655066
31,-163.46954555891855
32,-165.36886205032496
33,-165.53549367968947
34,-164.71416746356982
35,-164.90371934307638
36,-165.32122915487577
37,-164.92808312006804
38,-165.05338265642794
39,-167.68341882633717
40,-166.69405018069946
41,-161.74500949630752
42,-161.56533210501522
43,-162.69033931542873
44,-162.85315349552465
45,-161.7434017183615
46,-158.53551979794204
47,-156.55429523607827
48,-156.52229430033626
49,-157.48524144520405
50,-158.15414493129933
51,-157.24282597551917
52,-155.3705336382156
53,-150.71268190200618
54,-150.76028313743626
55,-146.72911930903038
56,-144.40993497868936
57,-142.50274371905763
58,-141.43955438033407
59,-139.68561220258044
60,-139.5249129211959
61,-135.89181114187292
62,-135.88961713683904
63,-133.95699703335148
64,-135.21140977451662
65,-135.92261517045938
66,-136.13408157103925
67,-135.04345424093256
68,-134.1233917098834
69,-133.0616512393134
70,-133.52214548528048
71,-134.10098654558192
72,-132.0405316527207
73,-130.453504193544
74,-126.61508562786274
75,-128.7658899528281
76,-127.19792991180564
77,-127.59163646952211
78,-125.59086516314433
79,-123.98178999827829
80,-123.55460090406913
81,-123.13940616359343
82,-121.35834962738551
83,-120.9314629307976
84,-118.76699718896022
85,-119.54927968581954
86,-119.07672292788283
87,-119.83544167026001
88,-117.77391084579571
89,-116.03995629554
90,-115.91861032227327
91,-113.22251777153608
92,-110.95685487299401
93,-110.00503078398393
94,-106.25070825906764
95,-104.11288448682913
96,-103.05021938686178
97,-101.51917410188715
98,-101.28836065523386
99,-101.55018489489242
100,-100.07803744335634
101,-99.5510066268839
102,-102.51383186630957
103,-104.76970356004709
104,-103.71724388533215
105,-103.6219386663161
106,-105.0403704611983
107,-102.49126056409602
108,-102.33611773763525
109,-101.66834672587251
110,-102.22177038406558
111,-99.17887708564253
112,-97.76372526504164
113,-95.97844735017279
114,-93.27033552893056
115,-94.08908248646235
116,-93.49165869509335
117,-91.85545924674508
118,-93.77755935720124
119,-92.82430796812714
120,-91.04756328995386
121,-90.56738611560677
122,-90.39803087048378
123,-89.71918707510909
124,-89.9003417786368
125,-86.81355601638707
126,-85.9767917496776
127,-86.175360573156
128,-86.49844664284984
129,-84.34913141985186
130,-83.60363276494697
131,-85.45309937267686
