,0,1,2,3,4
0,-229.30110454866178,-178.9717799858137,-169.00724892424216,-183.65345427247638,-174.82790988357908
1,-229.18887522348024,-176.69168466173207,-167.45600298084352,-180.78363508840707,-175.68895181400927
2,-232.657059094671,-175.931745991041,-167.64903199980085,-181.49167280276183,-177.51346490471897
3,-233.9682937654768,-172.85031308633566,-164.6652723879025,-178.33098696194662,-173.08070631208366
4,-230.80703939223483,-172.88233513176263,-161.3655991076453,-177.9392066321292,-171.98719502516917
5,-232.76009875146582,-169.55364191827888,-158.89878749666036,-176.82602597753026,-169.5257356273396
6,-232.36016082742142,-169.3566300707796,-156.09754394221673,-176.34289678412875,-169.4983555082239
7,-233.0946838446319,-167.44635997345003,-156.3366311470913,-177.67740654677402,-170.8532822816112
8,-231.12934149714474,-164.84366648319127,-157.74287231937214,-177.607667530666,-172.17622151622865
9,-228.60835478282218,-163.18232803132128,-157.2987104625722,-173.7922582828611,-169.32906220906818
10,-230.11731600787468,-163.77639773108191,-153.77207540270115,-176.77509792784727,-167.3357033582812
11,-231.38659708979313,-163.4815425175883,-149.4468072846935,-176.3770421958219,-167.1225325735561
12,-232.93893197971443,-163.6420323603321,-147.53917786495833,-173.12103802657458,-165.3152398519635
13,-232.87406610440755,-163.92943399780168,-146.1731674239646,-171.30881522514153,-164.99872080509274
14,-230.91620783133578,-164.61273505546657,-142.8802575128967,-167.95688834766025,-165.3576091379755
15,-230.50593692533556,-164.26213072789645,-142.5722813177691,-166.42391428485107,-164.91665550522418
16,-227.03611831328325,-163.62398202264353,-142.53132158885774,-163.7305160687015,-165.2222950101762
17,-224.26860525159915,-160.6268416195954,-141.07810491166404,-159.6815351474733,-163.2277731084547
18,-223.49910810277885,-157.27425956979275,-142.99112144223668,-155.55715852870458,-159.94253089133701
19,-223.42998118105115,-156.60278379480008,-143.0381382446807,-153.8265734514074,-156.26226985327017
20,-228.13934827376107,-156.06546078111984,-145.39190577075203,-154.05630728500296,-154.29117209311767
21,-228.67574230321924,-154.43620100134598,-144.85449711335633,-155.252340494,-152.81348418040315
22,-229.05810245190122,-153.35263208118238,-144.98376064936087,-152.07399545855782,-151.05731699588625
23,-226.09635107198042,-153.92886417677383,-146.15820302963613,-150.88097168447047,-147.7541206127494
24,-225.98192213278446,-154.51024383402307,-142.39532444576724,-148.35353698418228,-144.07098140300874
25,-224.06251855566774,-154.85836114338056,-140.8592950188894,-145.9206011307311,-142.39980446244482
26,-225.7790983395537,-154.0423512464163,-137.92490529416804,-142.94805102890487,-140.57336347128293
27,-224.497434688539,-153.696860132103,-138.7839792790272,-141.7123884343873,-138.87748905908217
28,-223.16022885559988,-151.73509827231118,-135.5655152142167,-143.00711476797204,-136.1955420052725
29,-222.58145201522632,-150.50100495756152,-137.56755308059488,-142.33179217301642,-134.3325181959688
30,-222.58655285792338,-149.73182356281893,-137.24041678054274,-141.97834561099862,-133.41259780556697
31,-222.75276030580338,-147.94519871141398,-137.47101533274397,-138.1451487586569,-131.55316882740132
32,-221.00296429569372,-144.09502628906182,-135.28786430681373,-134.8647586574283,-129.2024037791781
33,-217.53988062612015,-142.97487519347078,-133.38943092896773,-129.87927358453373,-129.21894264317393
34,-217.33036655169218,-138.65826827440665,-133.64608035190773,-126.82191842010856,-127.93066078745018
35,-213.95858291911466,-137.738755126096,-130.26562205704,-124.57553713371384,-128.21320544735926
36,-209.24212915054508,-137.23627090261402,-128.29625039230328,-122.7251438825919,-128.20391426932576
37,-209.03392765970563,-137.10585642005879,-124.248779067862,-120.59080448809786,-127.23830668445343
38,-208.01186059915898,-136.87957514930784,-125.66759112743438,-119.38082141585572,-126.73097353133542
39,-205.6084989907543,-136.13619457213264,-123.88577940840545,-119.01929715636189,-126.83171078978656
40,-200.22070394957237,-134.87614054618334,-122.39011729779003,-117.1558319556467,-125.57750255797959
41,-196.45749603362125,-134.80412743268454,-124.0457890220836,-115.50035731761729,-124.1401480730625
42,-195.7344187767414,-133.89867733301935,-124.64457490415191,-115.04201064628816,-122.01688661056487
43,-195.5190686484786,-133.28619521532016,-126.52672405301072,-113.03448454523132,-121.66696251267982
44,-190.75303023333913,-133.65411179220382,-126.99328084093676,-112.89350162911451,-121.43223300807604
45,-189.36714752284638,-132.8821033711156,-123.98341518807865,-112.4090813446106,-120.95289026387469
46,-186.4113103497074,-132.15609993779228,-121.15122944203858,-113.56092302644694,-120.20900076410948
47,-183.6819886342932,-132.65599596621365,-117.45985541310326,-110.537042057707,-119.36281008806478
48,-183.1714607822608,-131.04799048937105,-114.55118888439489,-109.08119330266726,-115.71575861880748
49,-180.77189495663168,-131.48400873846197,-111.10253619496392,-107.68498812115105,-114.99622456041752
50,-180.35693928750987,-130.54556875216576,-110.16011727311302,-106.97356567755993,-110.56657485390343
51,-179.03312081381011,-126.40536271984652,-109.83487137137315,-105.93127024807445,-109.29436512924377
52,-178.3216383935725,-126.6177688446996,-104.06038763965483,-102.79871532865045,-107.12974539583463
53,-178.08788794214152,-125.56043537434515,-104.21104096843777,-102.79497431857891,-105.6431585038646
54,-172.00734170966427,-124.72919440982443,-104.47326265691052,-99.61866521022058,-105.47088995157212
55,-171.22359103881968,-122.57585161458175,-103.9318528477539,-99.32264106947619,-105.6746629381631
56,-173.31824238300015,-122.28782320584456,-103.03495456691924,-97.59118873443641,-104.47360991845427
57,-167.92363899390782,-120.38421529885036,-100.0889527315759,-97.5581996080764,-104.66000336525643
58,-167.12275263422157,-118.31564405013178,-102.35932834281355,-95.50228910227095,-104.19297807185822
59,-162.28911082754385,-113.36503497494087,-104.47820243212789,-94.31225496235633,-104.61686797499658
60,-160.83326862688716,-111.92508493944324,-104.24174610916003,-91.59307765074246,-103.03239121440856
61,-158.45085555672875,-110.9038068269188,-103.35357501301054,-90.22612803239117,-101.9014599549097
62,-154.12468660663518,-108.50039600468999,-106.78830126986722,-89.04821461849745,-102.19568632470468
63,-153.1820588751879,-108.2298992641815,-107.6776810535572,-86.09406825035504,-102.08887948114617
64,-154.86116342094928,-108.66588929905608,-106.60037388001315,-83.87550290274652,-100.85553721856557
65,-153.6345118406617,-108.36305359585704,-105.38562576745755,-84.0310626271973,-98.47388195035818
66,-153.1498045842545,-105.41784832605626,-104.0826389984798,-82.55226196539455,-98.53510542488998
67,-153.1255950346224,-106.35230428715663,-103.34957447158345,-81.51342116683321,-95.81558982725126
68,-151.22810076798777,-107.02928195725865,-103.25998257252948,-79.68856329507703,-96.72570991910196
69,-150.76994439147774,-106.91829317704534,-103.18050252974612,-76.31248571772896,-94.12749983427805
70,-150.23471440412897,-106.63803541139546,-103.53151126650536,-76.62959542326725,-94.43345453641219
71,-142.1469676145409,-106.32189593891236,-101.61012595733906,-76.93878309911729,-93.88168469627907
72,-141.25133752612712,-103.21556449264853,-101.664974811226,-75.40533908904598,-94.81088008465714
73,-139.59088957766036,-100.44350816898985,-102.15234266828566,-73.34605113363781,-93.63304114386249
74,-139.0508090428407,-99.37219372574658,-101.97787322641149,-72.74777987515623,-94.03157079955731
75,-137.0711500031066,-99.06253789164892,-102.42858275001672,-71.46653005089975,-95.69527810524987
76,-137.03594797968648,-97.48309371490448,-103.82688648166483,-73.7275238129432,-95.14362741725141
77,-135.89951440630165,-96.73351148797775,-104.19063972813396,-73.90754334623541,-97.24164857264051
78,-133.99421305957574,-95.97150492874457,-104.68059090147985,-73.33760902767087,-97.6129758643094
79,-131.72889053449381,-97.46704088855002,-104.3858578120745,-69.89333813846677,-97.48635757394607
80,-128.51490495322776,-96.9636905704035,-103.86147670262251,-72.1680820676238,-97.45183606457093
81,-125.97601314308295,-95.36857554498421,-103.28727618466773,-71.59401585403292,-95.59885455361143
82,-125.4906645151908,-97.48372562169408,-102.13908880769829,-70.82721224395294,-92.77456603683169
83,-124.6300025375342,-97.46132126768394,-99.39817182556052,-73.16015896868346,-89.90229173684774
84,-122.98043271882209,-94.46871474196979,-97.58707496744793,-69.37943131575753,-86.71396263861358
85,-121.08488407041405,-92.12495993626234,-96.3691595069823,-68.2958959972237,-86.66482310690509
86,-117.41008334398566,-88.37657567855507,-98.34738982051844,-68.62737347737897,-86.24362139881636
87,-115.97283714501273,-88.48851335934262,-96.46410841173561,-68.92665580566695,-84.80537301840843
88,-115.82972025043067,-86.23664291924952,-94.83968300312023,-68.63266806686562,-85.26443843998659
89,-113.71636634946894,-86.85120273698286,-93.94573579442815,-68.05424231514782,-86.68556105231784
90,-113.27720007480042,-87.81441414856415,-95.03263414852955,-68.89801969648671,-81.84836249029918
91,-110.13376942412302,-87.97466277025876,-95.65140152443328,-70.73873718616751,-78.40150446389275
92,-108.09102936105535,-86.0712639170115,-95.23539033963432,-68.71046934703828,-76.56111667287638
93,-104.35136956044933,-86.31418529555586,-94.39231074621506,-69.04446198055903,-77.19671420229584
94,-99.27873937526505,-85.79386001953004,-92.84929682997557,-67.47324149499144,-77.53874401603663
95,-95.49622787944682,-84.16142668425286,-91.96017946028736,-67.94136196896068,-70.41019672814927
96,-92.09552332972227,-83.8245880834439,-89.75442815818307,-66.53845331068958,-69.52147134133786
97,-92.03957064440817,-84.13729925513287,-86.40529486299171,-69.29018451854289,-70.11304911838938
98,-87.14482125435948,-84.0873918986197,-87.53206963107876,-68.3362567040915,-66.66287221586298
99,-82.33567297486641,-83.00717690245611,-88.26481958179757,-68.6814886190063,-64.22384806013106
100,-77.33979713639683,-81.68688748404257,-85.56968317678437,-70.00823479369912,-63.98737397136922
101,-75.34365641066509,-79.3125318839693,-85.98023501832691,-71.63133729385285,-60.903239804866956
102,-71.77091313166912,-78.94116991073865,-86.53689286589672,-70.60108149000538,-58.90175182080208
103,-69.36671729026389,-78.79116956942482,-89.40834091386361,-72.95578795349462,-60.92540222464721
104,-68.61134106206725,-78.24618708898096,-88.81569187046902,-73.23413934573108,-59.62746924427288
105,-67.35013742295718,-77.69129834796578,-88.52867781654432,-71.50630535820925,-60.34608711929613
106,-64.07858271219392,-76.88356511650366,-91.06859742147142,-70.3368106799204,-58.55366130341998
107,-62.571492618569316,-77.48588381122592,-89.23247548486465,-68.79901153108753,-56.5259338162718
108,-61.377940882019864,-77.6754783070889,-87.23758807862615,-68.14927961985616,-56.46430860950698
109,-62.77391174351276,-76.36474719072811,-87.69172193019837,-70.68950765914217,-56.47797413920531
110,-59.75597519421239,-76.82776453275628,-90.47153983927716,-67.06311653196546,-53.23665672960175
111,-60.40206266745965,-76.13697173522559,-93.79752536048173,-67.81137849638785,-54.14724841747991
112,-59.88335840017955,-75.85875093513536,-92.39322818148167,-68.3056480422129,-54.173355346041646
113,-61.305185463176414,-74.89997908476319,-92.69169834838505,-68.12627383073054,-51.18550954133467
