,0,1,2,3,4
0,-933.1813542207414,-236.7143881455872,-223.41190066550283,-438.34008676094004,-281.397556579848
1,-938.5937001751596,-234.61411591542262,-223.7060741220611,-438.1499061947059,-280.60615072346025
2,-941.393775520943,-234.73396222722252,-220.74109731997993,-439.45296694232536,-284.3311158636215
3,-918.4861050932113,-233.68871049876375,-220.5259417743771,-440.17941406784536,-284.68936213715574
4,-909.1383915866844,-231.370580729947,-215.4117149035138,-437.0659889481243,-280.47032768019625
5,-899.4016335202546,-227.9254729897774,-212.52534243276767,-434.7563486211166,-278.0883040711962
6,-895.2953895532708,-224.27903713543276,-209.6536584114512,-431.1896506774443,-274.34831135385946
7,-893.1190645279058,-221.5192342383778,-205.82103036158856,-426.5759659489115,-269.3533147407616
8,-886.078412532132,-220.10389692931025,-202.17852483484523,-425.6527877409316,-270.0027284825929
9,-880.1779947037704,-216.50169118425418,-199.3090089574473,-420.45625255293396,-268.68770000338475
10,-880.0577548342206,-213.46124345216506,-195.18254365696927,-415.6129950277093,-265.87718180721987
11,-878.6311409626896,-210.94080063247588,-194.44692663932793,-411.77459410365225,-266.10580866142186
12,-875.0794787928457,-206.96169242619672,-194.6381456761824,-413.0105051049699,-266.1361374373518
13,-867.9072409032835,-204.7669992921058,-192.85991167155763,-410.00595003265704,-266.05222291141325
14,-867.006796067486,-199.42316484024963,-190.9898777120635,-406.2359884789476,-261.77898249062144
15,-865.668440945694,-193.8988015867813,-191.49230946757456,-402.16871501163206,-257.54552928625776
16,-860.6775546384238,-188.78584073738338,-190.40161637982627,-395.31428225022194,-253.43508849086754
17,-858.9806812180475,-181.9550036402047,-189.03366338566994,-386.76581391543436,-247.41860405377665
18,-857.7189247790038,-178.85817966082968,-187.91425902010397,-372.255440344403,-243.48431536005864
19,-852.815716264113,-176.86554809535536,-185.42305312325763,-363.47769311914766,-243.41607413727237
20,-850.8339862250521,-174.49540940222454,-181.1631582384847,-356.9021007842181,-240.11336112475175
21,-847.3419694499902,-170.5982425696114,-178.71820622604395,-343.19430248944576,-236.43777638379797
22,-840.7671615771037,-166.21790303372572,-175.71842501326165,-336.1360578781829,-234.13114401423707
23,-836.6966239556361,-163.87882710903034,-174.10905959922675,-328.71272279025084,-231.49568892054495
24,-832.133781635217,-157.50648998906365,-175.19832161280598,-322.9767351728903,-227.80182144443788
25,-831.2487146613079,-154.30372634597504,-175.82432418353162,-302.3520405820613,-222.8595138632519
26,-824.3601063920959,-145.3586735618585,-179.33193468970137,-296.5129598198719,-221.82782520864646
27,-819.2444241023767,-138.0994439046299,-181.5683726266108,-289.5016728088737,-216.57303474184897
28,-818.59745550292,-136.5653873053207,-182.74607308887906,-283.9782634217147,-215.2768160741915
29,-817.2806281730243,-135.6107384169965,-183.52647827588953,-279.28860613845075,-209.86128645448204
30,-815.5296607821188,-136.60332575264695,-183.13194678053648,-275.1001799719545,-204.55045591367073
31,-815.3769072848436,-136.92308114346255,-184.5742636410867,-269.42786334493184,-204.75002157824966
32,-810.1813366645038,-138.21109473951128,-185.78875180353097,-266.79092927726606,-203.84289060704086
33,-807.0362831504433,-138.82206907894272,-186.6233755104574,-264.17747469583736,-200.61434243193148
34,-805.8735601781977,-137.97990877197867,-188.93516059673217,-260.5565973932799,-195.10017100648034
35,-798.7639792749078,-137.82937275118198,-191.3577222922031,-259.22677892019544,-192.13472341501853
36,-785.0264508586179,-137.06164007229617,-192.90519954615903,-259.3565809852342,-189.9615931858237
37,-779.6539214443576,-137.36117509001397,-194.09308396410495,-259.5720988049687,-184.72854106155006
38,-776.3191578521753,-137.3384422434814,-192.57857347211183,-259.1833877339777,-180.83991484013586
39,-774.4499113939829,-137.25574916039662,-193.6288569012536,-259.3463522609134,-177.2244208824733
40,-760.2102548144416,-137.20534940966397,-193.2104954536267,-259.8907249608395,-173.75477977881084
41,-754.3449498832588,-137.54858066249176,-193.85750954467144,-260.0721585756508,-174.13575975609146
42,-751.8378218555931,-137.11062736740817,-196.2770829431759,-260.50230980491034,-175.50805745484433
43,-746.2912068403924,-137.20073148597612,-198.18684499978096,-260.3075923237799,-175.0469056182093
44,-740.197846072122,-137.44872796297975,-199.68452923985623,-260.65585883429117,-174.61230111193527
45,-737.9534731337936,-137.36273949331195,-198.16343838486227,-260.0002346291048,-174.86987383603878
46,-728.9133028885421,-137.0594566707736,-199.96388761018406,-257.56590301022993,-174.39326764652975
47,-719.9159026275531,-136.93731647071584,-201.96091279659527,-256.9955078051928,-174.775624022397
48,-716.8165815938216,-137.1007599710507,-204.455431487028,-256.48269236611645,-175.16407117947517
49,-714.1182720498582,-136.6923788691421,-203.60953832495613,-256.508958295718,-175.48942448464902
50,-712.2316302308506,-136.85489654755978,-205.5119220325396,-255.8889912462491,-177.3969874102023
51,-709.5109905734222,-136.6158268290225,-206.3398560349167,-255.92738795648,-174.1228192395585
52,-702.9163184243678,-136.76257527196424,-206.6713019117847,-254.54265826222755,-171.5131611852401
53,-699.062552101629,-136.92563225635064,-208.85760231936067,-251.66843916294175,-166.47065381639615
54,-690.7851000902052,-137.53270276184762,-209.88030032020123,-242.87281038428534,-161.20899808196336
55,-679.2742065480885,-137.0518559809927,-212.0083397429702,-231.18898548975582,-160.24434447638023
56,-674.5768177064352,-137.10029158287767,-213.3777507121153,-217.98965539825517,-162.36023510818984
57,-667.0617733208704,-136.9864507067983,-215.49921828852672,-207.04736338993578,-164.06020621404775
58,-661.9110064197564,-137.34392782422722,-215.90487643811667,-203.05094563699862,-165.91441896158167
59,-656.9996354055054,-137.2569459855834,-218.60299771688744,-186.4438370610168,-165.37840669471743
60,-650.911695937846,-137.26298972060428,-220.12036214112416,-183.95520957380373,-165.62009724119434
61,-641.7902630099129,-136.90766839109278,-219.70100174441583,-183.80413066170658,-166.50557008309158
62,-638.6492468412558,-136.75458167076252,-219.35499009450504,-176.9135428640613,-166.81697435131773
63,-630.0959105957749,-137.11090024734787,-218.13857298146516,-175.03354085594827,-166.40344442092564
64,-620.8460368019787,-136.96559524586561,-216.7716066759235,-176.56659038522173,-165.82936503258858
65,-611.5945908404364,-136.7558472680566,-215.67304060435015,-173.6792884406033,-164.84482950767193
66,-605.2523282935997,-136.52663070102076,-215.00878556693797,-170.7992459717658,-164.39775182146258
67,-597.3274794057813,-136.38087935401956,-212.44138455674747,-169.37004629795192,-163.39599475103557
68,-579.5012819192692,-136.02298390923264,-211.23385588108465,-166.49564985504037,-164.49441015483967
69,-572.3747703075448,-136.0726844939459,-210.7734652149358,-164.3212505683971,-166.45951877569124
70,-552.3295784019014,-135.495449289059,-209.70398320866457,-162.29529343339743,-167.2196877482656
71,-547.4737128288368,-135.58385732924995,-208.26615397823832,-159.8995150504288,-166.9703896856176
72,-542.4970226344835,-135.95496555993847,-206.04879099284568,-158.59937777381026,-167.24064545564264
73,-543.536925144963,-135.8424444466824,-203.77769788851947,-157.1578815418922,-168.7968677147933
74,-544.3986476748862,-135.70101277784732,-201.8810350029745,-155.6832660083488,-169.44413642685555
75,-542.6427574144977,-135.61225503499676,-200.45616504000103,-154.91039009302384,-168.6653672052924
76,-539.8116836197765,-135.70199835351167,-198.0243124026248,-153.74694880576223,-169.73180683208298
77,-534.8205063425904,-135.79454063811687,-197.06516993299482,-151.764258592721,-169.71160414842348
78,-530.8919057159555,-135.46796191210734,-196.60894343679945,-149.6063972213825,-170.84173420887313
79,-526.0812524544283,-135.1865813563615,-195.6499553266784,-147.97798769136358,-171.3031806916864
80,-523.5906825171108,-135.107029895478,-194.0054192791015,-146.7436038350575,-171.50559748977636
81,-518.73097224175,-135.3853627407353,-192.54896321276564,-144.38142062073828,-171.35998060094903
82,-513.7986120459741,-135.5559664574084,-191.93542282163483,-143.35045096575564,-170.97970999807708
83,-510.62252375209994,-135.21816175613466,-190.5615362020903,-142.21110860279364,-171.70529871195976
84,-507.1540172903094,-135.20946477800314,-189.5304405917876,-140.39926088571633,-172.34410925750177
85,-502.28635617250774,-135.33989351120098,-189.37681391750368,-136.78280801961785,-172.6739809844111
86,-497.28981188424825,-135.6081769847038,-188.18612903163282,-135.62055668207992,-171.94646219196093
87,-492.4547270536345,-135.91198667003857,-187.95075874707928,-135.07304598210197,-171.43539920460805
88,-487.2852414331192,-135.5760919835468,-187.605331448341,-134.0082582190535,-171.12824035374825
89,-482.95382689527236,-135.3022704720073,-186.7327573874263,-128.51215471454864,-170.9628864765142
90,-479.26633925521014,-135.37656891086905,-185.92815126878642,-123.70616639145022,-170.31605455564113
91,-475.0072077827024,-135.5054029290748,-185.29432543689447,-121.4520642107605,-169.9434818199822
92,-470.5131862234997,-135.44234580124845,-184.55385012752467,-118.56741695960983,-169.8025672598183
93,-465.6822423455449,-135.5307392269502,-184.55562170693602,-117.66602793826046,-169.03493132791206
94,-461.4083390742689,-135.27322769581488,-183.44853366362648,-116.14664992567505,-168.21343325217288
95,-457.10134268727046,-135.33812244968692,-183.0528527807288,-113.92995084254902,-167.90889101548652
96,-453.16784190082655,-135.48417386250065,-182.52758925258414,-112.09011601644256,-167.49340083217987
97,-448.37283922053047,-135.2429092396843,-182.22048191272526,-110.11391801018286,-167.27808665702156
98,-445.13451371961105,-135.46175966885357,-181.70813895730473,-108.57022916402977,-166.18273211577917
99,-441.1661605922568,-135.90709083650688,-180.61548588861496,-106.99191732249514,-166.18775140508558
100,-436.8734704622723,-136.3857368520392,-179.85422462227302,-105.55857756393618,-168.00250084530654
101,-432.4789706983582,-137.06999444409684,-178.0335903974096,-103.32635635679385,-168.93330429664925
102,-428.4997255876987,-137.14221468534993,-176.47675030794872,-101.11361123667847,-164.47520817129234
103,-424.78244531706616,-137.25013642592737,-174.61739260433254,-99.56878907859021,-160.84046998736042
104,-419.6635179298191,-136.9012937897069,-173.80993375399316,-98.53775827285264,-161.19909759715094
105,-415.30794889271107,-136.55985477797415,-173.37977455620162,-97.0508350237024,-162.14336567356722
106,-411.1836667517617,-136.48015432381132,-172.15372696044543,-96.04895313019149,-161.7899564968967
107,-407.35726860856994,-136.29261004064904,-171.85500786831034,-94.3207850879391,-162.6554360243691
108,-403.8563479939442,-136.1798189677027,-171.2222789480447,-91.63959265039055,-159.33228288034942
109,-400.54449476957546,-135.9851222715427,-170.79073440508628,-88.74799261519267,-156.53303528160814
110,-395.78498388218105,-135.9792350700317,-172.96857376241323,-87.67720032025733,-154.867070892826
111,-391.6115270101074,-136.24661286434767,-172.53687429856703,-83.8952426861028,-153.768242448081
112,-388.9093860575992,-136.17025362264366,-173.17664310800563,-82.87414414977663,-152.2857757594271
113,-384.74041980920845,-136.563746013478,-173.41147793358803,-82.52357645351894,-151.02655188848038
114,-380.7241172364198,-136.66597403507228,-174.0850549190267,-81.86988139548045,-149.37533355186815
115,-375.64898793804207,-136.7135614858646,-172.61500560905574,-81.92252703628665,-147.5504251903267
116,-374.17975710604054,-136.90951335562073,-171.11726886584427,-81.04754399407604,-145.79975509757858
117,-368.90409355858554,-137.13249754698793,-170.69122929444967,-80.46474811705502,-145.3848108116637
118,-365.11592795330876,-137.2474543399699,-169.42862923303582,-81.12634728205317,-145.87621830061843
119,-361.28392641566535,-137.26077570186598,-169.0935764511484,-80.43237909564152,-145.02484412005543
120,-357.3298445693423,-137.13717758966934,-168.4447885465974,-79.74981478080551,-144.24939417583172
121,-353.9707792908077,-137.01375698906855,-166.91136393719188,-80.40368613831082,-143.283466555133
122,-349.69644983432664,-137.36732344591087,-166.02070844430173,-77.56075518128397,-142.06684470803978
123,-345.9332299327049,-137.73188827827443,-165.45724902947887,-77.51975232643231,-141.044116645818
124,-341.1149239804713,-137.81559591137824,-164.33821762642276,-75.55824409892904,-138.93038847411546
125,-336.7368061336112,-137.79193913573098,-164.27315121708423,-75.0283467456664,-137.92786358436985
126,-332.6489340375763,-138.21423812141876,-161.6526594579325,-74.80387700506787,-136.01248015588897
127,-328.19701282310706,-138.52793725700886,-160.58232916815393,-73.99459047100174,-133.97510650338893
128,-323.2791283820965,-137.9523678442634,-160.04498343325187,-72.483356891553,-132.180627725635
129,-319.41525115280996,-138.52159464961855,-158.16609765595203,-72.52557417498377,-130.3877218950123
130,-314.99490330114213,-138.57626836166858,-157.14184873686662,-72.29972443030915,-129.49850601658494
131,-310.3836712538905,-138.74913080172487,-154.74710496381488,-72.38937309586444,-131.53058072800744
132,-306.40272408714344,-138.55325854735324,-152.15468758784885,-71.53620905716274,-132.2950955985503
133,-302.83026398995224,-138.57417986053207,-150.6506755206115,-70.73836559636919,-130.40451305222285
134,-298.6941893460578,-138.73680587979345,-148.16635485029838,-69.95376267726307,-131.59673212305916
135,-294.50356683017003,-138.9448243223802,-145.4343027444545,-69.16617630811994,-130.30727584969196
136,-289.6520982365614,-139.88422818445258,-144.0592886730423,-68.03449364678177,-130.46218155809706
137,-285.075996983452,-139.9087792571219,-141.6469325734837,-67.22140403200973,-131.35441011255116
138,-282.7317129595912,-142.7080256113521,-141.2659889635027,-66.44887604578992,-129.69842664934248
139,-278.89159588355255,-143.25868475647235,-138.3112411646556,-65.2516393346704,-130.51336082599408
140,-273.85786740821027,-143.42983268256137,-136.85486676269625,-64.14307290897554,-131.34122276906544
141,-269.3957159051752,-144.21990344628398,-135.42989038862075,-62.77043662913456,-129.97492681219126
142,-264.5974222050228,-145.2216720914234,-132.7565582509791,-61.3843717508923,-130.1582056361305
143,-258.6495711305017,-145.65585532622023,-130.0171003708871,-61.28363118278376,-128.8633206463181
144,-254.26672178089265,-146.39051848811283,-128.38734307980053,-59.155022106481475,-126.7503868992361
145,-250.37650833416654,-146.0955230475328,-127.32950837554347,-59.584594071015225,-125.76103695295771
146,-246.2581685791369,-147.1412113503278,-124.92464518028271,-61.270156487472384,-123.16912619482366
147,-241.7999694035027,-147.4110960791566,-122.05779419156319,-61.966200267508924,-121.74853983769148
148,-239.29632673395398,-147.2442174092563,-118.84573977737695,-61.028682975814526,-117.86905583939946
149,-234.96264255613426,-147.38878315677363,-119.25803723463305,-60.7571884611771,-114.61102495034328
150,-228.06748649529214,-147.47906257480648,-116.57268255894598,-61.234634053303616,-114.96064305142721
151,-224.90970130142026,-147.00098025721215,-115.48235771024,-61.296442069186135,-114.34913477219128
152,-220.57693908427908,-146.99205148867588,-113.53454094058092,-59.93215983003233,-114.9876364300554
153,-217.57456290893523,-147.06647020294022,-111.8175048500684,-60.17250069953792,-114.54620804149157
154,-216.4491133784599,-147.0052122455518,-110.71144874965117,-59.92458654215406,-113.78865190654683
155,-214.2759698794055,-147.24788591072323,-109.75449078372876,-59.527953455324806,-112.13506314898702
156,-211.3710379947075,-147.05291797861597,-108.16729140974647,-58.9518660615949,-110.53862613623792
157,-209.46336740949442,-146.5939609083331,-106.63986179955769,-57.791563349292886,-108.79027870199198
158,-206.81938613334972,-146.72224783561964,-107.05735781213488,-56.586024649339606,-107.39755859019778
159,-205.57925674031424,-146.0895154869939,-105.63663170546104,-56.31703599447005,-105.80095384232729
160,-201.93436444271768,-146.47570299157596,-105.23610267936095,-56.43669617722185,-104.18315066906102
161,-198.7686768423211,-146.85855973181933,-106.70378289733786,-56.561845332820575,-103.30294822685114
162,-195.15480711067644,-146.5438884516063,-108.03341739257996,-56.50347092878497,-103.42171985587026
163,-194.58615747159004,-145.95750236766645,-109.03430043231414,-56.47183269637257,-102.17363243061844
164,-193.34232754723692,-146.3128639120319,-109.96265000359406,-53.471889814116906,-100.85783949247913
165,-192.43182666577738,-146.93011622124865,-111.7097212221039,-52.748019660818535,-100.5120676441177
166,-190.04268403107199,-147.18168576629898,-112.60013683911352,-51.50454594978718,-99.41818849249735
167,-188.85697461922211,-147.32302960608686,-114.50944201510615,-49.376637831207475,-97.9658360456301
168,-188.41763636848702,-147.38795813814787,-116.7322546447961,-48.609846434788835,-96.44433472640048
169,-188.67119366577418,-147.38460802565842,-118.94590105962942,-47.77936659066702,-95.29243392670506
170,-188.75763467324853,-148.25845574121365,-119.54158732569023,-46.017396921727276,-94.19567846864695
171,-188.08931343122623,-148.4914703590957,-121.59343969391539,-47.47289293987449,-94.49195792171844
172,-187.03291461464195,-148.36816558066693,-124.10376975050282,-46.07956970441241,-95.2646520481748
173,-186.4376192183239,-148.33658862937912,-125.95273343884566,-45.79981753098125,-93.46187026260488
174,-183.53763054340504,-148.45526454509965,-127.10471920361041,-43.73413334050211,-94.04801035783974
175,-182.72381651189013,-148.9501723949027,-127.65783942621903,-41.548546061147064,-92.79792974171022
176,-181.28618454226572,-149.0023704208322,-128.94302614872674,-40.65266987098824,-91.37757135185484
177,-180.75492460835255,-148.889955206352,-129.4604494744594,-40.10974494414502,-90.94915637015897
178,-179.85825063830097,-149.3935739878105,-129.2483218230288,-39.441523271030185,-89.28279592969588
179,-179.59769039683687,-149.72306373062116,-128.68368625176595,-38.162016857217395,-89.50828826322748
180,-177.88783438484262,-150.26488599089618,-128.85749152830536,-37.41133612726433,-90.10476263626019
