,0,1,2,3,4
0,-285.57997263159876,-328.87326282929797,-173.6868213735428,-486.1078886013084,-312.95155224662136
1,-282.0915605115289,-327.3403662769746,-170.02703076504034,-486.18904147188465,-312.19253489189765
2,-282.6529755428852,-325.6247345459773,-167.28686130820964,-484.9684656261361,-308.1650137043947
3,-282.3156906388954,-323.83666983864487,-166.12984348224353,-483.62393005729194,-308.2408189023412
4,-281.0166309934057,-319.5199667908926,-165.9160427833711,-480.97843397295406,-308.8479320505746
5,-279.9602329703602,-317.9356019559161,-164.20330941271513,-477.58584428905027,-308.40019237034716
6,-278.2372336122343,-315.109961313846,-161.89694774716784,-471.2594362799462,-305.7321567619388
7,-278.33640434007566,-315.229812096509,-158.7283071825581,-465.5409918661903,-301.7677066537353
8,-278.4898142552479,-314.5937968032648,-154.5443194625601,-453.3945275807721,-297.3141376029456
9,-278.1227674617996,-312.1192778186768,-150.35585444783388,-447.7820404676007,-292.7079602077913
10,-277.98823773449817,-308.3336654356541,-148.1217275856184,-433.2662512339868,-289.0737589846747
11,-278.03245455816966,-304.24995674991754,-145.59045933892727,-425.80784632739255,-285.64564527055427
12,-273.5830164313729,-303.0795488905728,-141.8275885704892,-422.3072270832123,-281.24344128392715
13,-272.0781566778322,-299.5760996922299,-139.85868463832844,-410.7168792264218,-278.25673382419563
14,-269.6837888913805,-295.2655829742242,-139.60962381989128,-403.26021809541004,-278.0241419022839
15,-270.2838339220991,-293.13707008019327,-136.13329186142388,-396.88202265478395,-277.99843729911004
16,-266.2982122108011,-291.8505151200114,-134.1414825880844,-392.29754371672965,-274.4353630623831
17,-261.74571498455646,-290.23663992502543,-133.2073919208263,-389.992903385801,-270.2255852515477
18,-254.9214383599273,-288.1132297341552,-133.41948918945891,-385.11052342270733,-266.0230058581836
19,-252.7556777499394,-283.5747456312153,-133.20699568430874,-378.67017984875366,-262.25437434964806
20,-248.8943610144094,-283.76988192717357,-132.88705984208056,-375.2585998623932,-259.7635604186199
21,-245.76821889011018,-283.60380600522564,-131.706823596556,-372.69053832356485,-257.4586051835668
22,-245.2935204135851,-283.9733309017175,-133.34496999740898,-369.3508212757863,-255.54025323725892
23,-241.82758633622473,-281.65459000884795,-133.3102861225376,-366.0305920683254,-249.62158486974943
24,-235.87604972468395,-278.96159735673393,-134.9830087679271,-360.33072807619806,-246.67964308353376
25,-230.7292431187108,-278.24357550849516,-135.9307137728194,-358.2857522718612,-244.05473160166719
26,-226.7289912496313,-277.00621636758046,-136.1332470965051,-351.30349163594207,-239.01845753625474
27,-221.5940265116956,-274.3673872170447,-135.9405571088474,-349.42500421934005,-236.54108783971623
28,-217.1708480121248,-270.14383794137325,-136.6400887575115,-342.33047361307473,-233.37597759673656
29,-213.34509679209597,-269.16458510794894,-136.90066383502025,-338.8360846757683,-228.82707959240545
30,-210.33401337022806,-269.74092428092627,-136.16546564398834,-335.60327421774406,-223.92543869712742
31,-205.9135290546015,-268.64082780027735,-137.813098302738,-329.18681221735113,-218.59146963003394
32,-204.68595119842246,-263.99701684113853,-138.59130851386587,-325.1301687889726,-212.69028282644598
33,-201.79913626087802,-260.1466273456703,-141.64119683043097,-321.04738484421324,-209.16817129196392
34,-200.75888493840867,-256.4985116074148,-142.82440232071278,-316.02256848866557,-205.51159763216003
35,-198.89351936569253,-253.71008936384632,-142.84979002702804,-312.09307738419886,-202.3888375120977
36,-194.02255167525493,-251.8731573083888,-142.92262273807842,-305.3567336811318,-198.6667433183478
37,-189.47402031556868,-247.52252658289598,-143.90174936941648,-301.48715199650525,-196.27768248078257
38,-185.99966528221307,-243.80528703373437,-143.72801949391683,-298.6501394259204,-193.47519264073097
39,-181.56655989166734,-236.78208168698254,-144.32331483587834,-293.7650915261401,-188.8450504319131
40,-177.03108386673804,-231.45710458983515,-145.2366143448858,-289.48469817108526,-185.12767762089862
41,-174.3733014845846,-229.29505551073055,-145.16708871837352,-285.83953504820164,-181.88749136338535
42,-188.82182410740683,-225.28314565311587,-145.5948411549028,-282.8568441341866,-178.061644467619
43,-199.66004021232627,-223.24636608785426,-146.3110220024147,-279.2868749277517,-174.1242871894201
44,-207.81068494615593,-219.58208286664842,-146.32131514525605,-276.90231996716835,-169.88039973844133
45,-206.3111834585707,-218.4723330147389,-146.5806561218429,-273.3909781934392,-166.2496032446052
46,-202.5805466264992,-216.49281848349125,-146.5337118779306,-267.8678410295808,-161.38583862036202
47,-199.5560685275985,-217.2587143239702,-146.45468802642907,-262.52154921053415,-158.20260401033903
48,-194.7390113722784,-215.76261966458466,-146.37116465037442,-254.9535420430166,-156.1464367314597
49,-190.37358687879782,-213.35264249843397,-147.12226420692593,-250.45378655402246,-152.82683260870738
50,-187.04542278770023,-213.6740602473892,-146.9406237570715,-245.97128072046985,-147.89866870859407
51,-184.95067437559362,-211.52452666614656,-146.88609688954446,-242.76229702928774,-144.16830328689358
52,-182.66890944560558,-211.96041166148262,-147.0447748300491,-238.4347665254134,-140.33778310858247
53,-181.16660454010685,-210.37696768064077,-146.75270360905157,-235.83092413157704,-137.35734900253678
54,-179.66577928843842,-207.32295532509175,-146.8687361204048,-230.66269507000226,-134.8655758402856
55,-176.7225941739286,-208.51217842128767,-147.10110964407542,-222.27101203728142,-130.2730639127823
56,-174.75717429777657,-209.15663648153833,-147.43043429060614,-217.3268802319554,-128.55414763603355
57,-175.25444934255563,-202.61076592393826,-146.62464791850252,-210.97574612895278,-126.70125051528626
58,-174.01996589511705,-197.00591586710445,-146.43826796597943,-204.19823369173992,-126.35413011624338
59,-174.9158530733552,-191.1020708910624,-145.43129669006908,-200.06802066345935,-125.9773936376761
60,-178.21292305024522,-189.20052330647698,-145.29547289517615,-192.3375477496022,-125.25288094163045
61,-182.93693756187818,-188.76903887107554,-145.18945674423804,-186.90601847808293,-124.54589811818418
62,-185.84904510930284,-188.13313672865397,-144.943816001262,-182.91539609819566,-124.54635057493606
63,-188.77178522222692,-187.37170223445554,-144.55686109484384,-177.94134241761455,-124.08375786858477
64,-191.32413321221298,-187.6074314867227,-144.01363858929656,-173.06373816662148,-123.93650995971367
65,-195.54213498244127,-188.1657028558373,-144.60145505412729,-168.4629470140557,-123.8963660164403
66,-197.15981815240397,-188.86526867369636,-146.68658331870333,-159.98869826483585,-123.58753355850794
67,-196.54699970425955,-190.05338715011524,-146.47756951226194,-154.98056908836776,-123.42020355560565
68,-195.21951633048147,-189.9445575342943,-146.38834464856245,-149.9576194672468,-122.84235967848281
69,-194.48268981406986,-190.83957004450855,-146.2838317434644,-144.27998929611692,-122.56957890775807
70,-195.2447344733984,-190.68964589667135,-146.5789617871111,-141.24896085073198,-123.05075353623403
71,-195.52883608774886,-192.4707934865302,-146.4624073127203,-138.1831961583726,-122.67958404684603
72,-197.05196796281987,-191.3001338201457,-147.21274288611795,-137.38612429093953,-122.28425845833257
73,-201.29444223251022,-191.71313117952027,-147.97495903937644,-136.5371597518342,-122.29672614001336
74,-200.9925991094908,-192.29450926545053,-147.37987296909117,-136.14869686988249,-122.26443073268642
75,-200.79454871190492,-192.71433635270046,-146.60928434727555,-135.01334257219366,-122.59392593064989
76,-200.5559702531209,-192.06141600063148,-146.06268826537936,-134.97431732502173,-122.55315815067186
77,-199.1800482808473,-191.66198493923312,-147.55266841406308,-134.26160136068148,-122.63570703170157
78,-199.7284215775778,-192.66707193993662,-147.76385244991897,-133.399451346764,-123.05318190388901
79,-199.7360202523492,-192.90979774502514,-148.11310930397704,-133.24237566161833,-123.30688488178811
80,-199.0992310700814,-193.3481514237345,-146.62335373897469,-132.10181581827308,-123.54242227528687
81,-198.73576494739234,-193.8770894303582,-145.32738859298416,-130.96144243813112,-123.0536581033298
82,-199.00034207317896,-194.0516530553236,-144.1988854226418,-128.703863251975,-122.43692195693446
83,-199.39750141779817,-194.3233500967209,-143.35666227247896,-127.64633198023884,-122.88625231260097
84,-199.93013867911228,-194.63434378320028,-142.70311523405078,-126.10894687606184,-123.03119968295809
85,-200.51249812662266,-195.84808384359013,-141.6441349833779,-125.06454888081075,-122.98363296079013
86,-200.67109466137453,-196.83886760088433,-140.42813379333808,-123.49305435389384,-123.12157875890303
87,-200.9423059326465,-197.56575865488662,-140.07516471327173,-122.08402429916897,-123.33402535483059
88,-201.55150905860964,-198.06306780353805,-139.2111065273741,-121.09864132788596,-123.32548557230112
89,-201.1508681841012,-198.30676100499338,-138.7424542242589,-120.62393567439021,-123.407270610409
90,-202.06778417378544,-199.12364894582518,-138.457259565617,-119.52484727877714,-123.12102511614785
91,-202.3741062511321,-199.71657647191495,-138.65779198297037,-118.10514268512064,-123.17488599396859
92,-203.37358085908502,-200.4535430038125,-138.31704045914523,-117.03209455747653,-123.616375152944
93,-203.70014651338764,-201.3889437426211,-137.38617419440823,-115.67985614230719,-123.52172209135401
94,-204.0119743829113,-201.79271713610055,-137.96447521700867,-114.64352963900839,-123.67512123542566
95,-205.20279079493767,-202.75411187463996,-136.9114033475329,-114.59820676914474,-123.75904111105548
96,-205.36345234347496,-203.51453578651012,-135.96907856856623,-113.38578473991984,-123.6447244798868
