,0,1,2,3,4
0,-150.7462940158056,-161.41217057007333,-155.1113856410601,-156.507386182494,-210.22092717613668
1,-150.59770300531068,-162.09381898595686,-155.71259213820514,-153.1066230726712,-209.15869686578054
2,-149.7070663358047,-163.28630833978474,-152.55463963261877,-154.10736877056937,-205.74466233065027
3,-149.73202033145284,-163.97957762338334,-152.14886375905226,-154.30813263795662,-207.1176956199311
4,-147.31990867676174,-164.84636816978832,-152.3035806591697,-154.8363017176289,-206.67808684770299
5,-146.47476262923428,-165.34087979687553,-153.67993628932257,-157.45307743771926,-206.9917529331161
6,-146.13326106732165,-166.35819362597837,-151.32468180397976,-155.29746026226013,-208.72064430698592
7,-146.48743004422275,-164.55411421616017,-149.9867791776173,-155.97589510639548,-208.0761207304914
8,-146.4530359675886,-163.34577286477753,-150.3704350283059,-156.99888792670015,-208.57876248202152
9,-144.77225202577176,-166.21015358438774,-149.29491985473848,-157.74018222434324,-206.28768977775525
10,-145.2039078003394,-165.4865368690898,-149.13587832613135,-158.98704312534844,-205.060331055744
11,-142.54449820937788,-162.90250893704342,-149.38363336622965,-159.28557200131408,-205.1239822012595
12,-142.06679861949158,-161.12848966428209,-148.08057285202952,-158.11824250567437,-202.02028652092173
13,-142.0023040529663,-163.06165875827185,-148.11615935821035,-159.98268050484646,-199.22749466918387
14,-141.6554315633288,-161.95125943305774,-148.17886730280526,-159.82207851985044,-199.46690434904664
15,-140.13443014735046,-159.82900820664605,-146.43130147754775,-159.54116823776656,-196.8774751929451
16,-139.1149257377484,-159.73417086459438,-145.14212313911233,-158.21777752297902,-194.68951257467108
17,-137.6252448383408,-158.50921398514618,-142.77853642599456,-157.1663317386356,-192.94099802499971
18,-136.02408968120474,-158.05600103917038,-145.78498718192103,-159.03648158278122,-192.9128859093535
19,-136.25622397578908,-158.11795132614077,-145.5619665798443,-159.3845390897026,-191.98083649138138
20,-137.13258306462316,-159.08141835063114,-146.2722766289262,-160.56796846244333,-191.7259615029911
21,-136.94568847446217,-158.7226768082086,-145.75168408604972,-159.3811241111118,-191.89530510568227
22,-137.63478059085122,-157.48348201320886,-145.1048985841279,-160.29672312040043,-191.600295992637
23,-137.20350713045116,-154.77110389567707,-142.80384642083004,-160.2695033940059,-191.76776976018107
24,-137.14213944170092,-155.1714901707464,-141.83703120526062,-161.40865688382547,-188.06982640758594
25,-134.54189908120546,-156.00690901147408,-142.17289946578018,-162.0511384643601,-186.79120319974703
26,-133.55933231909975,-155.84117475448548,-139.81203843610842,-162.47124698572136,-183.5160030334026
27,-131.3216742072442,-154.27535095553606,-134.9226670643985,-163.02504886692972,-182.3657413758509
28,-130.01675774252976,-154.08922545188958,-137.00254014372715,-163.09153954484933,-180.1266525720088
29,-130.948871037485,-151.64905423350456,-136.16025811299698,-162.9955874958809,-177.97714538703818
30,-131.06674090144,-151.71745363021068,-134.02379602981236,-161.47483749780963,-177.80486082244568
31,-128.4391703455534,-152.3995223449411,-134.01148540810627,-162.40650822602885,-176.9959059630624
32,-128.55462742266104,-151.1838507657784,-131.8428532669844,-162.16162171466624,-175.61347668532107
33,-128.73559484560462,-151.16170480418702,-131.83899965671839,-158.7158658965241,-174.61506336138453
34,-128.86507712003004,-152.55938762862317,-131.15525761034777,-160.87049982651612,-172.67342995720003
35,-126.46793541004833,-151.4194334590525,-131.29245302281888,-160.8622718520234,-172.4246975236756
36,-123.75226634799463,-151.29708100806647,-131.8496930961738,-160.50879629773345,-171.9855854550843
37,-123.91141825297466,-150.10989438892977,-130.93893577121614,-160.52400296069015,-167.28590593091747
38,-123.27953861373096,-153.15809943636305,-130.00370828892164,-160.84331336650723,-167.91458628695116
39,-123.83010665375976,-153.6559300602162,-130.2362619826028,-160.9887436318116,-169.3297795601655
40,-125.13801126197289,-153.42438423625333,-129.2821638813041,-162.9275209693899,-171.24174613092822
41,-125.23249233434406,-153.76125622703177,-128.4372483207855,-163.06898996744,-170.17174466995024
42,-124.77128468582046,-155.17834598603412,-127.80575818752564,-161.60581868621009,-171.00490469541313
43,-124.69451806430868,-154.95582696181106,-127.79690307909244,-160.93080535374673,-169.1883090868087
44,-124.68639871682255,-154.72480275531484,-124.28768053006245,-158.6259495219161,-166.79047851272117
45,-125.10342697397068,-153.93330665442556,-123.24204063253967,-158.8289413645623,-164.85625638165757
46,-122.63298230502625,-153.43310540736763,-122.8015865986001,-161.16301745403757,-162.77221768724507
47,-123.12292199904749,-151.2640577413832,-122.73249373720141,-161.05790783585604,-159.32457605144654
48,-122.54338041883146,-151.93048573221938,-122.97731011155619,-160.29462486150328,-157.5729275465064
49,-122.05109087593058,-150.96968546090503,-124.97884633409102,-159.8806607155709,-155.72077614905427
50,-122.44302134213513,-151.52689790028882,-122.3340312427932,-160.66113849488886,-154.7146412004647
51,-122.17905010370508,-150.72496015210115,-124.4372472052016,-157.7909177513865,-152.36850260329328
52,-121.68348455726229,-149.28423548303124,-123.21782876427488,-156.28042643453347,-151.34118365166273
53,-121.44014252035402,-150.84319981868964,-122.38105497839538,-157.21161879001716,-151.99266944345703
54,-121.0614510501805,-148.56505167849633,-125.27667215708541,-156.75774201426563,-153.45457720494426
55,-120.15532234539012,-150.39951970081168,-123.84245798332317,-155.7309806532512,-151.187121519813
56,-120.49520393464267,-150.31716734628418,-122.23489936131772,-155.1717667662756,-149.37852145401507
57,-118.55953023807581,-147.84800958388507,-123.13928202663223,-156.6219324789721,-147.82026969884112
58,-116.96661861998999,-149.09772140698217,-120.87021091800624,-158.30268042404737,-147.3277700154873
59,-116.57396141840034,-147.41253063379304,-120.28362834322012,-156.35539706010047,-145.90144965172763
60,-115.05107011890595,-144.54629708997982,-119.49232900236342,-155.65835904407766,-145.45588997455684
61,-114.03751689413923,-146.33254366852216,-117.98234451513015,-153.32052783276626,-145.4790914889944
62,-113.60851670527556,-146.75819141613047,-117.79425765851275,-151.44980307703764,-144.91722278137954
63,-114.76054670279474,-146.0993931670445,-114.60796918812466,-149.28346576097738,-142.6858497009512
64,-115.10405297929984,-145.44067354892684,-111.34902320123949,-149.2346849359971,-143.75038553799988
65,-113.28077951647393,-146.7338112717536,-110.15881819797336,-147.86394315395813,-144.72581271845968
66,-110.29853170673555,-146.03290022325154,-109.19915017769198,-147.43415110329985,-144.64184766328287
67,-107.05161720664366,-144.99973012923527,-109.42324168050207,-147.103210073391,-143.31890580904152
68,-104.83905299348987,-145.95598525774938,-108.83712590733394,-145.62623910738267,-143.96678299890465
69,-104.41183628896208,-142.46118204722825,-108.1427055421328,-145.1979306829757,-143.79334264914178
70,-103.85993128081671,-143.4391576085695,-107.34013995402685,-139.95740128512134,-143.19881519510335
71,-103.06575319378493,-141.41323058899093,-105.71174529341513,-138.579889361998,-142.94541349120414
72,-103.51807858791128,-142.43176431633412,-104.54945039900241,-136.86199005832245,-143.1792384641256
73,-102.0321587059894,-138.54745329192212,-104.92986785908839,-136.43935953924174,-143.9532051478941
74,-100.65722575756894,-138.87164767398977,-104.55204101645724,-137.75316813810394,-143.3847585624238
75,-100.12164043752173,-140.49193887387997,-107.0225396859247,-135.88075363798995,-143.53541351470204
76,-101.57520559137095,-140.30022321840323,-106.20101488910825,-136.96157609006008,-143.9090075760619
77,-98.7746786993148,-140.1139763459012,-109.23743906996498,-137.21801871330447,-142.8619046927896
78,-98.48658427331496,-137.49064034403003,-109.28166543415638,-135.35884422711123,-143.10079954261562
79,-97.62823534199595,-137.11774153482418,-109.86796603654513,-132.89687264198366,-141.21136307842175
80,-97.48212859721478,-138.7868581399295,-111.64197029998881,-132.4256827273678,-141.03488757585038
81,-96.49550484139594,-140.42607682718284,-112.28699316199796,-132.9335856381517,-139.308500644181
82,-95.61269279175758,-138.78997947708402,-111.62281728549793,-135.2884866608373,-137.8312850358556
83,-96.4668054038007,-138.9157469609042,-111.90221055509403,-133.35880041390433,-135.46736730294018
