,0,1,2,3,4
0,-203.55293513252923,-172.068840439135,-222.77729542732786,-235.0515724235651,-181.60672195010565
1,-200.6408203701375,-171.30212818258585,-221.3055282285901,-233.86940463555558,-183.64509592951606
2,-204.72850307584392,-168.139112624308,-219.88853639079048,-233.27653195798925,-181.60610717882082
3,-203.41566686080478,-164.82956956125287,-220.02611164901506,-232.69232283342822,-182.41285325062248
4,-202.7414269254076,-163.57562035252988,-219.4361213889811,-232.28386889424993,-180.87595482458323
5,-202.53003036688955,-161.9268707226709,-217.26227747647607,-232.98737298182562,-179.9240931229026
6,-200.0272770961871,-162.46882458228828,-219.33422022334565,-232.17986817463236,-179.51017805203605
7,-201.73181559841763,-161.29758572928498,-216.86060308256805,-228.46400646101623,-180.3539834081824
8,-201.2001991549184,-161.4258052268708,-219.62272450392126,-229.6999572280624,-180.41641847033995
9,-200.91879729793374,-160.99476736475833,-220.24751840022682,-226.4073489083816,-183.50596488985323
10,-202.35876677620334,-157.94221584843208,-219.2336442508239,-229.51430478410512,-183.07063489656414
11,-202.89921613977054,-159.53445919325935,-220.35758658756237,-227.4872831464037,-178.5787570483868
12,-200.28982620907817,-156.7081252848333,-221.12135326548,-227.0684083971577,-172.77198901838074
13,-199.47339338082912,-152.32902174530716,-222.40350046295677,-228.97045907991517,-174.4180950193421
14,-202.44582113687125,-151.6303306455007,-223.5162308792804,-230.46421367533625,-173.14628314767324
15,-199.33799592087988,-149.87704532115924,-222.37584523491435,-231.8580444628342,-172.47263508007927
16,-198.45627555382606,-152.04568138130483,-221.1894771129211,-233.2890603900086,-173.87383866204766
17,-206.67831906905795,-151.01554821737972,-224.22198315674368,-236.75574223953555,-172.84035679955247
18,-209.42434864525387,-150.38750571964684,-224.38009329531906,-236.1305748038502,-172.26446028498177
19,-209.903152490306,-150.4701961003715,-222.56354076010695,-234.2404569309075,-173.27532205285362
20,-209.2475930421173,-153.2560414014703,-219.7069750956408,-236.95088635711127,-174.319548869087
